given_name,user_name,profile_link,association,followed_by,,
BDS Movement,bdsnationalcommittee,https://www.instagram.com/bdsnationalcommittee/,American University,@au_sjp,,
Unity Coalition Mvmt,unitycoalitionmvmt,https://www.instagram.com/unitycoalitionmvmt/,American University,@au_sjp,,
UMBC SJP🇵🇸,umbcsjp,https://www.instagram.com/umbcsjp/,American University,@au_sjp,,
Students for Justice in Palestine @ W&M 🇵🇸,sjpatwm,https://www.instagram.com/sjpatwm/,American University,@au_sjp,,
ANSWER Coalition,answercoalition,https://www.instagram.com/answercoalition/,American University,@au_sjp,,
Palestine Legal,pal_legal,https://www.instagram.com/pal_legal/,American University,@au_sjp,,
AU African Students' Org.,americanuaso,https://www.instagram.com/americanuaso/,American University,@au_sjp,,
Stanford Students for Justice in Palestine,stanfordsjp,https://www.instagram.com/stanfordsjp/,American University,@au_sjp,,
Boston Uni SJP 🇵🇸,bu_sjp,https://www.instagram.com/bu_sjp/,American University,@au_sjp,,
UMD SJP,umd_sjp,https://www.instagram.com/umd_sjp/,American University,@au_sjp,,
Institute for Palestine Studies,palestinestudies,https://www.instagram.com/palestinestudies/,American University,@au_sjp,,
Socialist Action Initiative,gwusai,https://www.instagram.com/gwusai/,American University,@au_sjp,,
IMEU,theimeuVerified,https://www.instagram.com/theimeu/,American University,@au_sjp,,
JVP - DC Metro,jvpdcmetro,https://www.instagram.com/jvpdcmetro/,American University,@au_sjp,,
AWOL,awolau,https://www.instagram.com/awolau/,American University,@au_sjp,,
Jewish Voice for Peace AU,jvpamericanu,https://www.instagram.com/jvpamericanu/,American University,@au_sjp,,
PaliRoots,paliroots,https://www.instagram.com/paliroots/,American University,@au_sjp,,
The Art of Weeping. فن النحيب,maryhazboun48,https://www.instagram.com/maryhazboun48/,American University,@au_sjp,,
Wahaj Bani Moufleh,wahaj_bani_mouflehVerified,https://www.instagram.com/wahaj_bani_moufleh/,American University,@au_sjp,,
The Indigenous Initiative,indigenous.initiative,https://www.instagram.com/indigenous.initiative/,American University,@au_sjp,,
PYM NYC,nycpym,https://www.instagram.com/nycpym/,American University,@au_sjp,,
American University IFC,american_ifc,https://www.instagram.com/american_ifc/,American University,@au_sjp,,
Harvard Undergraduate Palestine Solidarity Committee,harvxrdpsc,https://www.instagram.com/harvxrdpsc/,American University,@au_sjp,,
Linda Sarsour,lsarsourVerified,https://www.instagram.com/lsarsour/,American University,@au_sjp,,
Sunrise American U,sunrisemvmtau,https://www.instagram.com/sunrisemvmtau/,American University,@au_sjp,,
YDSA @ American U,ydsaau,https://www.instagram.com/ydsaau/,American University,@au_sjp,,
Medical Aid for Palestinians,medicalaidpalVerified,https://www.instagram.com/medicalaidpal/,American University,@au_sjp,,
GMUNAIA,gmunaia,https://www.instagram.com/gmunaia/,American University,@au_sjp,,
American University DC Reads,dcreads_au,https://www.instagram.com/dcreads_au/,American University,@au_sjp,,
Al Jazeera English,aljazeeraenglishVerified,https://www.instagram.com/aljazeeraenglish/,American University,@au_sjp,,
Mondoweiss,mondoweiss,https://www.instagram.com/mondoweiss/,American University,@au_sjp,,
Student Coalition for Palestine at GWU 🇵🇸🕊️,gwuscpalestine,https://www.instagram.com/gwuscpalestine/,American University,@au_sjp,,
Jewish Voice for Peace,jewishvoiceforpeace,https://www.instagram.com/jewishvoiceforpeace/,American University,@au_sjp,,
American University NAACP,americanunaacp,https://www.instagram.com/americanunaacp/,American University,@au_sjp,,
SJP at UT Dallas,sjputd,https://www.instagram.com/sjputd/,American University,@au_sjp,,
Party for Socialism and Liberation - Washington DC,psldc,https://www.instagram.com/psldc/,American University,@au_sjp,,
AU Antiracism Center,auantiracismctr,https://www.instagram.com/auantiracismctr/,American University,@au_sjp,,
DC for Ceasefire Now Coalition,dc4ceasefire,https://www.instagram.com/dc4ceasefire/,American University,@au_sjp,,
@SAFEumich,safeumich,https://www.instagram.com/safeumich/,American University,@au_sjp,,
BSPH SJP 🇵🇸,bsph.sjp,https://www.instagram.com/bsph.sjp/,American University,@au_sjp,,
Bisan Owda,wizard_bisan1Verified,https://www.instagram.com/wizard_bisan1/,American University,@au_sjp,,
Maryland 2 Palestine,md2palestine,https://www.instagram.com/md2palestine/,American University,@au_sjp,,
DMV SJP Coalition,dmvsjp,https://www.instagram.com/dmvsjp/,American University,@au_sjp,,
Wayne State University SJP 𓂆,sjpwsu,https://www.instagram.com/sjpwsu/,American University,@au_sjp,,
SJP at UC San Diego,sjp.ucsd,https://www.instagram.com/sjp.ucsd/,American University,@au_sjp,,
